Age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
0,0.09047283,0.07595857,0.06554799,0.05973202,0.05714748,0.05643245,0.05377396,0.04698083,0.03763928,0.03197331,0.02860432,0.02603674,0.02426161,0.02000806,0.01783703
1,0.01458161,0.01144744,0.00923001,0.00803961,0.00753522,0.00738975,0.00686643,0.0055078,0.00370055,0.00271536,0.00221974,0.00187187,0.00165787,0.00205466,0.00185524
5,0.00277876,0.00198175,0.00155736,0.00141235,0.0013908,0.00141578,0.00124294,0.00112676,0.00085552,0.00074081,0.00071897,0.00068898,0.00065783,0.00061393,0.00056225
10,0.00179242,0.00130916,0.00105569,0.00097484,0.00097044,0.00099118,0.00087272,0.00081793,0.00065117,0.00058572,0.00058696,0.00057706,0.00056127,0.00053274,0.00049353
15,0.0025724,0.00190803,0.00158528,0.00151105,0.00153705,0.00159592,0.0014199000000000002,0.00139604,0.00118027,0.00112045,0.00116917,0.00118276,0.00117513,0.0011411,0.00106903
20,0.00335899,0.00243532,0.00199246,0.00193221,0.00200485,0.00211989,0.00187976,0.00188299,0.00158803,0.00152838,0.00162207,0.00165389,0.00164717,0.00159816,0.00151532
25,0.00354354,0.00254141,0.00206908,0.00200727,0.00210833,0.00225061,0.00197259,0.00200395,0.00168868,0.00163981,0.00176322,0.00180852,0.00180605,0.00174733,0.00166314
30,0.00404092,0.00292325,0.00240213,0.00234024,0.00245241,0.0026293,0.00231209,0.00235534,0.0019988,0.00195085,0.00210195,0.00216037,0.00215804,0.00208676,0.00199067
35,0.00498452,0.00372001,0.00310658,0.0030455,0.0031903,0.00339846,0.00303327,0.00309543,0.00265938,0.0026055999999999996,0.00279397,0.00286557,0.00286508,0.00277381,0.00265362
40,0.00639445,0.0049648,0.00424467,0.00417069,0.00436839,0.00463913,0.00419599,0.00429533,0.00376381,0.00369531,0.00393017,0.00401825,0.00401765,0.00390412,0.00374804
45,0.00848195,0.0069085,0.00608613,0.00601577,0.00625251,0.00662384,0.00612184,0.00624795,0.00563631,0.00556197,0.00584724,0.00595909,0.00595833,0.00580971,0.0056042
50,0.01200442,0.01018215,0.00916778,0.00907253,0.00933863,0.0097531,0.00919923,0.00937979,0.00857829,0.00850313,0.00884604,0.00896268,0.00895537,0.00875157,0.00847303
55,0.01704459,0.01513458,0.01398673,0.01385918,0.0141325,0.01454634,0.01378589,0.01410079,0.01313687,0.01296206,0.01339897,0.01353311,0.013479099999999999,0.01319568,0.01281333
60,0.02751665,0.02559703,0.02440367,0.023910400000000002,0.02363035,0.0234207,0.02220667,0.02193892,0.0203989,0.01980577,0.0200698,0.01977384,0.01903729,0.01820212,0.01770788
65,0.04470131,0.04300727,0.04196999,0.04096195,0.03949162,0.03784954,0.03612188,0.03464195,0.03169057,0.03026919,0.0301803,0.02877791,0.026697500000000002,0.024944499999999998,0.02431725
70,0.07392833,0.07247414,0.07070318,0.06857151,0.06585210000000001,0.06251398,0.06036383,0.05695905,0.05166174,0.04823226,0.04733644,0.04423097,0.03985244,0.03672823,0.03585322
75,0.11595208,0.11572951,0.11370075,0.10968735,0.10538635,0.10074148,0.09866442,0.09325006,0.0853668,0.07937965,0.07665004,0.07112719999999999,0.06406489,0.05916601,0.05762426
80,0.17618357,0.17825987,0.17662139999999998,0.17042916,0.16305407,0.15612145,0.15462049,0.14691479999999998,0.13610295,0.12705149,0.12205315,0.11206007,0.1009629,0.09390534,0.09110924
85,0.25633175,0.26129811,0.26202964,0.25466833,0.24410648,0.23340776,0.23257482,0.22278794,0.20937960000000003,0.19698057,0.18946626,0.17302249,0.15323578,0.14436563,0.14125793
90,0.35322202,0.36183215,0.36486365,0.35802434,0.3453453,0.33113911,0.33134952,0.31951774,0.30372354,0.28840105,0.27848959999999995,0.25416384,0.22306151,0.20891223,0.20594657
95,0.47486072,0.48915174,0.49486450000000004,0.48786578,0.47303140000000005,0.45523186,0.45665453,0.44253087,0.42262164,0.40371401,0.39228073,0.35895365,0.31366782,0.29338666,0.28779442
100,0.60294099,0.62827911,0.63972163,0.63094934,0.61302731,0.59172329,0.59481967,0.57930406,0.55659515,0.53391976,0.52202461,0.48250604,0.42413221,0.39832271,0.39161921
