Age,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,84.3398,83.66239999999999,82.3758,81.81339999999999,81.9844,82.3252,80.79339999999999,81.27000000000001,82.9324,85.1836,87.70160000000001,91.23519999999999,94.37639999999999,97.056,99.2632,100.96039999999999,103.38219999999998,104.225,103.80739999999999,102.5606,100.9082,99.00319999999999,96.55839999999999,93.7534,90.6212,87.0608,82.4704,78.5846,75.2836,72.6502,70.9136,70.30760000000001,70.50460000000001,71.3544,72.46060000000001,73.4718,75.2846,75.8864,75.7722,75.8082,76.6784,77.3926,79.1636,81.5942,83.7212,84.71000000000001,85.27360000000002,84.77860000000001,83.3926,81.66380000000001,80.0228,77.82660000000001,75.9938,74.55499999999999,73.5178,72.9556,72.6648,73.0308,73.93480000000001,75.1816,76.62960000000001,78.8492,80.72260000000001,82.351,83.8562,85.265,86.4964,87.7268,88.8714,89.7852,90.36580000000001
5,73.7398,76.6322,79.3418,81.6202,83.41839999999999,84.8158,85.6754,85.3298,84.06439999999999,82.551,81.7072,82.6558,84.078,85.9664,87.9982,89.70439999999999,91.57480000000001,93.69800000000001,95.9428,98.03439999999999,99.55839999999999,101.013,101.86439999999999,101.9816,101.33619999999999,100.033,98.154,95.16260000000001,91.27539999999999,86.978,82.875,79.70439999999999,77.03639999999999,74.93480000000001,73.3596,72.223,71.6094,71.8044,72.7982,74.2842,75.7374,77.33539999999999,78.7324,79.863,80.8424,81.941,82.8642,83.705,84.464,85.0592,85.32739999999998,85.1802,84.53739999999999,83.3864,81.9032,80.3972,79.1192,77.92519999999999,76.893,76.1038,75.64,75.8158,76.545,77.77239999999999,79.30319999999999,80.8548,81.99199999999999,83.07039999999999,84.18560000000001,85.37460000000002,86.6232
10,61.4602,63.0788,65.5416,68.5058,71.4812,74.1424,77.41839999999999,80.1182,82.4458,84.2764,85.2998,87.3878,88.5404,88.887,88.8206,88.7442,88.309,88.357,88.87480000000001,89.75880000000001,90.9428,92.7836,94.85839999999999,96.942,98.68960000000001,99.8258,100.6724,100.8382,100.3922,99.372,97.70239999999998,95.5044,92.7818,89.6784,86.49119999999999,83.49960000000002,81.0228,78.77680000000001,76.7784,75.2008,74.31,74.6654,75.7466,77.28939999999999,78.87719999999999,80.1964,81.24539999999999,82.009,82.5706,83.13739999999999,83.87519999999999,84.6016,85.4192,86.2966,87.0132,87.30019999999999,87.123,86.41760000000001,85.3474,84.12819999999999,82.9014,81.8768,80.865,80.03639999999999,79.5072,79.354,80.10319999999999,80.72139999999999,81.1934,81.562,81.9338
15,66.7002,66.78819999999999,66.31739999999999,65.3462,64.529,64.465,67.3034,70.66,73.9104,76.71799999999999,79.1668,83.4634,88.20599999999999,92.667,96.11439999999999,98.21180000000001,97.8888,96.4548,94.30319999999999,92.1562,90.5602,90.00980000000001,90.142,90.80319999999999,91.7172,92.6918,93.7466,95.036,96.5112,97.9842,99.23839999999998,100.147,100.6704,100.727,100.155,98.84299999999999,97.0362,94.5954,91.8358,89.0896,86.52260000000001,84.3402,82.276,80.6166,79.5366,79.02680000000001,79.059,79.6402,80.642,81.7672,82.80199999999999,83.89939999999999,84.6208,85.1562,85.73839999999998,86.4822,87.9772,89.36,90.52239999999999,91.2084,91.2474,91.8064,91.441,90.2862,88.634,86.7988,86.5866,86.35139999999998,86.0172,85.5706,85.03960000000001
20,69.7,69.9568,70.9198,72.25019999999999,73.387,73.868,73.29400000000001,72.7302,72.961,74.47560000000001,77.0552,78.8086,81.6242,85.5234,90.1396,94.8844,97.6674,100.0186,101.715,102.54160000000002,102.405,101.31360000000001,99.434,97.07260000000001,94.8446,93.19460000000001,91.8738,91.07300000000001,90.78,90.9942,91.748,93.7474,96.12,98.4658,100.3912,101.721,103.16860000000001,104.08779999999999,104.29,103.6932,102.3828,101.70660000000001,100.0962,97.5984,94.5504,91.3826,88.81739999999999,86.51419999999999,84.54939999999999,83.05080000000001,82.154,83.0762,84.4528,85.939,87.1944,88.1,90.21979999999999,91.9316,93.1186,93.936,94.59400000000001,97.1074,99.46039999999999,101.2488,102.04939999999999,101.6932,100.9414,99.95360000000001,98.8606,97.8154,96.8372
25,71.64,72.57860000000001,72.8572,72.6802,72.60839999999999,73.0522,73.4862,74.2028,75.096,76.0206,77.102,77.9,78.8486,80.037,81.7052,84.1154,86.7194,89.857,93.31160000000001,96.6928,99.6748,101.3268,102.832,104.05539999999999,104.6582,104.37060000000001,102.5492,99.7338,96.596,93.986,92.339,91.8982,92.3306,93.5368,95.25739999999999,97.2084,99.369,101.8502,104.4224,106.76820000000001,108.6164,110.96079999999999,112.81379999999999,113.89380000000001,113.9922,112.99100000000001,110.33980000000001,106.979,103.24080000000001,99.6164,96.4278,94.4804,93.1396,92.4238,92.2848,92.58279999999999,93.4766,95.2448,97.612,100.10900000000001,102.2846,104.8914,107.276,109.2902,111.04660000000001,112.59819999999999,112.282,112.08840000000001,111.9372,111.64880000000001,111.1086
30,61.8,62.91519999999999,65.4056,68.4048,70.9218,72.5272,73.535,73.724,73.42580000000001,73.2654,73.6822,74.3896,75.6426,77.2128,78.7286,80.0026,81.1538,82.11280000000001,83.11580000000001,84.551,86.6602,88.723,91.2096,93.8192,96.15939999999999,98.0536,99.43539999999999,100.4742,101.10419999999999,101.18960000000001,100.6874,99.9666,98.7098,97.29760000000002,96.301,96.0694,96.2128,97.1836,98.9096,101.1654,103.72999999999999,106.56960000000001,110.02180000000001,113.8368,117.51400000000001,120.55139999999999,121.16660000000002,121.05319999999999,120.325,119.08099999999999,117.37039999999999,115.2172,112.71019999999999,110.1732,108.02439999999999,106.48519999999999,104.44000000000001,103.1718,102.81800000000001,103.35439999999998,104.643,105.72380000000001,108.1344,111.7366,115.857,119.749,120.9254,121.0826,120.54480000000001,119.89680000000001,119.5144
35,71.02000000000001,69.2582,67.0708,64.94059999999999,63.66459999999999,63.629,64.0278,65.6496,68.20739999999999,70.8818,73.014,74.32239999999999,74.923,75.0248,75.1156,75.5312,76.34060000000001,77.44460000000001,78.7132,79.9398,81.037,81.90119999999999,82.5596,83.15,83.9336,85.0692,86.4166,87.998,89.73400000000001,91.4838,93.16260000000001,95.214,97.373,99.361,100.81219999999999,101.5594,101.3696,100.561,99.542,98.9546,99.227,99.9716,101.5656,103.86680000000001,106.6556,109.80439999999999,112.29480000000001,114.94919999999999,117.5558,119.79839999999999,121.5122,122.6484,123.37839999999998,123.7308,123.7142,123.33959999999999,121.86500000000001,119.6934,117.14360000000002,114.7684,113.0264,111.4512,110.38900000000001,109.91120000000001,110.1496,111.3422,113.27939999999998,116.15360000000001,119.4402,122.33279999999999,124.33039999999998
40,71.16,71.51060000000001,71.8836,71.91839999999999,71.3724,70.2772,68.8804,66.6286,64.0768,62.18580000000001,61.6606,62.5622,65.16839999999999,68.78139999999999,72.1682,74.4924,75.9306,76.33680000000001,76.09060000000001,75.8786,76.1304,76.684,77.6058,78.7,79.6404,80.2414,80.4392,80.2594,80.0196,80.1718,80.9668,82.51039999999999,84.72819999999999,87.4016,90.1888,92.84639999999999,95.114,97.3954,99.486,101.1078,102.1378,102.2674,101.7752,101.0156,100.59,100.9026,101.5898,102.7674,104.40119999999999,106.41199999999999,108.76559999999999,111.5038,114.6514,117.93239999999999,120.9914,123.628,125.9348,127.7046,128.7932,129.116,128.6762,127.7124,125.82239999999999,123.14560000000002,120.24660000000002,117.69000000000001,115.5222,113.97639999999998,113.18039999999999,113.2378,114.171
45,66.06,67.0782,68.128,69.02680000000001,69.7034,70.1412,70.481,70.7204,70.8422,70.652,69.9666,68.197,65.8302,63.3686,61.7094,61.446600000000004,62.706399999999995,65.4678,69.0282,72.251,74.4418,75.63839999999999,75.91900000000001,75.6184,75.3068,75.324,75.473,75.78,76.203,76.6156,76.9456,77.1092,77.29860000000001,77.67439999999999,78.5054,79.943,81.6004,83.8638,86.54780000000001,89.3668,92.124,94.481,96.8504,98.962,100.4854,101.2612,101.3486,100.65880000000001,99.6558,99.018,99.16799999999999,99.8222,101.239,103.37939999999999,106.0962,109.2356,112.6854,116.6892,120.957,125.03039999999999,128.5248,130.7628,132.719,134.3196,135.2628,135.18699999999998,133.239,129.976,125.98920000000001,122.17939999999999,119.1466
