Age,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,650.4336,693.0698,748.9184,801.3798,844.7128,879.9258,928.3591999999999,954.0766,967.232,978.4732,995.5054,1003.6054,1025.8948,1058.394,1091.9572,1120.0718000000002,1152.6324,1177.9058,1197.6893999999998,1216.8886,1239.2142,1263.7523999999999,1288.9443999999999,1315.4466,1343.014,1371.6658000000002,1402.669,1434.6583999999998,1467.3462,1500.3003999999999,1533.548,1570.3319999999999,1602.9876,1633.34,1664.4212,1698.6526000000001,1735.1586,1774.7759999999998,1815.7995999999998,1854.5,1888.398,1925.5432,1952.2862,1971.9772,1990.489,2012.1002,2031.5372,2057.341,2087.5542,2118.8854,2149.636,2185.6578,2219.4822,2250.5009999999997,2274.8678,2286.0976,2278.4618,2261.5504,2236.308,2212.4132,2203.833,2225.909,2249.587,2275.0976,2293.2876,2295.4426,2295.9212,2261.9793999999997,2207.0534,2155.094,2123.2684
5,528.009,546.9274,563.8396,581.5908000000001,602.5044,628.6949999999999,660.7948,703.964,755.5288,808.7218,854.4768,895.6745999999999,925.253,943.5591999999999,956.0654000000001,970.6646000000001,991.9941999999999,1016.1154,1042.8564000000001,1070.1871999999998,1095.2294,1120.7714,1145.8218000000002,1169.969,1193.3193999999999,1216.2653999999998,1242.0122,1267.7450000000001,1293.4638,1319.481,1346.1198,1375.7426,1408.0030000000002,1442.2026,1476.817,1509.98,1545.4768,1579.9582,1613.2459999999999,1646.0282,1679.2653999999998,1715.8076,1754.7376,1794.9512,1833.97,1868.7716,1902.7804,1931.1104,1953.8583999999998,1973.4273999999998,1993.3993999999998,2018.8168,2046.2448,2074.929,2103.566,2130.7936,2142.1362,2146.4608,2143.8748,2134.1626,2116.8360000000002,2126.605,2139.5664,2154.977,2171.9692000000005,2189.0596,2205.4556000000002,2227.4662,2252.162,2272.4236,2279.5904
10,441.4644,455.28159999999997,469.18140000000005,485.174,502.78180000000003,520.3224,534.684,550.9284,568.8136,590.9028000000001,620.637,660.4986,706.7452,756.8376000000001,804.8722,844.7825999999999,875.6671999999999,900.0101999999999,919.7152,938.6526,959.9123999999999,982.5459999999999,1007.2921999999999,1033.4658000000002,1059.6280000000002,1084.556,1108.216,1131.8428,1155.7652,1180.2826,1205.298,1229.2531999999999,1254.3103999999998,1280.3818,1307.5993999999998,1336.1786,1366.5062,1398.6011999999998,1432.0632,1466.0986,1499.7784,1531.8464,1564.7386000000001,1598.2808,1632.8126,1668.8606,1706.2688000000003,1745.2593999999997,1785.1082,1823.5118000000002,1857.6311999999998,1885.5672,1910.6046000000001,1933.4353999999998,1956.2754,1981.3596000000002,2004.4173999999998,2027.3836,2046.8831999999998,2060.718,2067.4526,2075.7812,2083.403,2090.3262,2098.0596,2108.326,2116.8232000000003,2129.6843999999996,2145.2738,2162.3818,2181.3602
15,375.7212,389.306,399.868,410.10200000000003,421.91679999999997,435.7764,447.98040000000003,463.6472,481.05519999999996,498.19399999999996,514.3198,531.1279999999999,545.8081999999999,561.6111999999999,583.5784000000001,614.2364,650.0656,695.0964,744.8358000000001,791.7256,831.074,862.2131999999999,886.15,905.5015999999999,924.7746,946.6618000000001,968.4757999999999,992.198,1017.5511999999999,1043.5022,1069.3118,1093.3786,1117.9636,1143.0052,1168.2792,1193.6176,1217.6726,1241.7098,1266.5044,1293.0924,1321.9296,1349.7336,1380.511,1413.583,1447.4818,1481.2412,1512.6356,1543.4052,1574.8868,1608.6798000000001,1645.2124,1679.4984,1716.6973999999998,1755.1426,1792.1014,1826.2761999999998,1840.6888,1859.3872,1886.8046000000002,1921.7126,1957.9314,1985.3139999999999,2006.3324,2022.0278000000003,2035.2894000000001,2048.306,2055.7298,2063.9046000000003,2073.0036,2082.5918,2092.5788000000002
20,290.06640000000004,301.85900000000004,316.6644,334.1812,352.091,368.4534,380.79359999999997,392.75759999999997,404.185,415.7548,428.23400000000004,443.11620000000005,458.617,474.5348,490.5072,506.36179999999996,519.5372,531.8548000000001,546.051,566.2984,595.086,631.9182,677.3045999999999,726.5871999999999,772.6042,811.0336,841.9294,865.1706,883.4844,901.6601999999999,922.8281999999999,946.1082,971.7084000000001,998.7424000000001,1025.6064000000001,1051.4338,1076.161,1100.1438,1123.5792,1146.9828000000002,1170.8383999999999,1193.3174,1216.2246,1239.8622,1264.743,1291.4473999999998,1319.6846,1349.1124,1379.4566,1410.2674,1441.352,1470.9492,1499.846,1528.5202,1558.4622,1591.3632,1616.9308,1640.8616000000002,1663.2292000000002,1685.2156000000002,1709.8146000000002,1752.6799999999998,1799.1958,1845.782,1888.2316000000003,1924.4419999999998,1952.7486000000001,1976.0664000000002,1994.6490000000001,2009.2330000000002,2020.8668000000002
25,264.6092,268.15959999999995,269.081,270.2822,274.6278,283.3468,294.04,309.73359999999997,328.03459999999995,345.6458,360.75359999999995,375.1782,386.9474,397.19140000000004,407.9074,420.19359999999995,432.024,445.44719999999995,459.85600000000005,474.06679999999994,487.64520000000005,501.323,513.9105999999999,528.1106,548.223,576.5996,612.6544,656.824,704.7081999999999,749.4441999999999,786.8471999999999,818.1428000000001,842.588,862.5206000000001,882.1103999999999,903.9988000000001,927.552,952.4154000000001,977.984,1003.2023999999999,1027.4702,1050.4212,1073.1671999999999,1095.5908000000002,1117.5854,1139.2774,1161.643,1183.103,1204.4616,1226.904,1251.0524,1276.9658000000002,1304.2784,1332.1889999999999,1359.8802,1387.4063999999998,1418.2788,1444.7432,1467.4454,1487.8186,1506.7328000000002,1534.7148000000002,1565.2534,1598.2412,1634.4454,1674.4068,1717.5169999999998,1765.8592,1815.443,1860.0566000000003,1895.9560000000001
30,227.1304,232.1228,238.161,245.34179999999998,252.3366,257.99899999999997,260.61479999999995,262.53200000000004,264.6518,268.9864,276.88379999999995,289.065,304.4358,321.5982,338.356,353.2546,365.1684,375.3724,384.6176,394.1032,404.6268,416.59220000000005,430.0334,444.34759999999994,458.5138,472.0706,485.12299999999993,496.9696,510.43859999999995,529.8702,557.603,593.3982,637.806,686.3014000000001,731.729,769.6306,800.7696,824.4618,843.2564,861.6790000000001,882.4959999999999,904.3405999999999,928.067,952.8302,977.0290000000001,999.7361999999999,1022.3696,1043.8434000000002,1064.4892,1084.7516,1104.7772,1124.9270000000001,1144.6416000000002,1164.2459999999999,1184.5278,1206.3088,1237.9708,1270.7348,1304.6681999999998,1337.6016000000002,1366.479,1388.419,1408.6522,1428.21,1449.6246,1474.7214,1502.5268,1534.5459999999998,1570.3332,1608.9156,1649.4394
35,210.2986,212.44279999999998,213.1938,214.19320000000002,216.61020000000002,220.7552,224.8882,231.64780000000002,239.4762,246.34139999999996,251.26620000000003,255.323,257.1312,258.5238,262.35759999999993,270.17359999999996,280.50820000000004,294.6192,310.877,326.57280000000003,340.0856,351.97540000000004,362.1336,371.27540000000005,380.7052,391.2232,402.6866,415.49140000000006,429.15240000000006,442.77879999999993,456.00600000000003,468.93859999999995,481.18760000000003,495.33359999999993,515.3698,543.4448,578.8808000000001,622.2832,669.292,713.194,749.8588000000001,779.3542,802.1138000000001,820.3966,838.1496,857.8624,879.5514000000001,902.3002,925.6042,948.402,969.9312,990.7872,1010.9744000000001,1030.3482,1049.0351999999998,1067.5018,1098.172,1127.7114,1155.966,1183.9964,1212.7921999999999,1234.5036,1259.67,1286.374,1312.2816,1336.2874,1357.8686000000002,1379.3790000000001,1401.4591999999998,1425.074,1450.946
40,182.3672,188.11860000000001,192.44260000000003,196.2624,199.9158,203.3134,204.71120000000002,206.2264,207.91620000000003,210.30180000000001,213.83499999999998,219.14520000000002,225.68779999999998,232.70120000000003,238.98960000000002,243.83800000000002,246.5176,247.6808,248.8164,252.2016,259.181,269.4208,283.2752,299.1304,314.47020000000003,327.757,339.097,348.70799999999997,357.38620000000003,366.4792,376.8116,388.0186,400.9466,414.95680000000004,428.95320000000004,442.457,455.25859999999994,467.01480000000004,480.3888,499.552,526.745,560.6265999999999,602.7048000000001,648.5624,691.2914000000001,726.6728,755.6715999999999,777.5186,794.7335999999999,811.598,830.6096,850.7578000000001,872.3988000000002,894.6572,916.2614,936.7524,964.1841999999999,994.2328000000001,1027.5322,1062.7988,1097.48,1115.772,1131.6668,1146.4066,1162.7168,1182.428,1203.6111999999998,1229.5758,1258.1742,1285.7982,1310.3926000000001
45,138.8154,145.1198,152.1428,159.9362,167.7514,174.846,179.7172,184.53339999999997,188.8674,192.454,195.3066,197.77179999999998,199.1514,200.2476,202.2608,205.78979999999996,209.91679999999997,215.8094,222.51239999999999,228.4472,232.7774,235.4188,236.56220000000002,237.6692,241.04059999999998,247.9708,257.6934,270.8494,285.9594,300.685,313.61679999999996,324.43379999999996,333.9708,342.88779999999997,352.2752,362.7832,373.77459999999996,386.14520000000005,399.3944,412.67299999999994,425.63359999999994,437.33820000000003,448.3844,461.2812,479.8532,506.1334,539.2024,579.8174,623.874,665.0022,699.2342,726.3294,746.9902,763.4278,779.5550000000001,797.9472,821.9572000000001,848.993,877.8958,908.3056,940.7515999999999,964.6376,990.1804,1015.9768,1040.3638,1062.5572,1080.426,1097.146,1113.7069999999999,1131.6222,1151.8528000000001
