Time,PopTotal
1950,18580.483
1951,19246.603
1952,19945.269
1953,20669.608
1954,21414.577999999998
1955,22177.06
1956,22955.908
1957,23751.87
1958,24567.266
1959,25405.531000000003
1960,26269.741
1961,27161.052000000003
1962,28077.345
1963,29012.63
1964,29958.687
1965,30909.997000000003
1966,31864.175
1967,32823.97
1968,33795.203
1969,34786.309
1970,35803.591
1971,36849.678
1972,37923.4
1973,39022.759
1974,40144.25
1975,41285.741
1976,42446.65900000001
1977,43629.415
1978,44838.485
1979,46079.844000000005
1980,47357.740999999995
1981,48672.831
1982,50023.564000000006
1983,51408.91
1984,52827.047
1985,54275.835999999996
1986,55755.346
1987,57263.835
1988,58794.999
1989,60340.768
1990,61895.169
1991,63454.785
1992,65020.124
1993,66593.90400000001
1994,68180.84599999999
1995,69784.087
1996,71401.743
1997,73030.879
1998,74672.009
1999,76325.927
2000,77991.757
2001,79672.869
2002,81365.26
2003,83051.97
2004,84710.54400000001
2005,86326.25099999999
2006,87888.675
2007,89405.48199999999
2008,90901.96699999999
2009,92414.161
2010,93966.784
2011,95570.049
2012,97212.63900000001
2013,98871.558
2014,100513.13699999999
2015,102113.20599999999
2016,103663.81199999999
2017,105172.921
2018,106651.394
2019,108116.62199999999
2020,109581.085
